y,x
5.477121255,5.476522829
5.477121255,5.282309978
5.505149978,5.25860695
5.477121255,5.351059549
5.579783597,5.493079209
5.477121255,5.424444899
5.544068044,5.447779221
5.255272505,5.224302413
5.397940009,5.403224458
5.748188027,5.559691268
5.602059991,5.312091855
5.648360011,5.55614926
5.544068044,5.474151628
4.77815125,5.315243405
4.698970004,5.223606916
5.77815125,5.499503852
5.322219295,5.45361198
5.62324929,5.464607268
5.591064607,5.330343695
5.079181246,5.369796709
5.544068044,5.566616735
5.698970004,5.70619666
5.477121255,5.523682992
5.146128036,5.342977395
5.748188027,5.505517565
5.544068044,5.279159716
5.380211242,5.299929593
5.301029996,5.326385018
5.62324929,5.474543131
5.525044807,5.622539963
5.255272505,5.320952632
5.484299839,5.43926266
5.602059991,5.496968383
5.322219295,5.382715535
5.146128036,5.398377971
5.662757832,5.52440248
5.58546073,5.613521533
5.301029996,5.313731338
5.477121255,5.42937816
5.511883361,5.538599289
5.311753861,5.463734849
5.544068044,5.572567886
5.579783597,5.495025822
5.579783597,5.50559472
5.397940009,5.432422489
5.602059991,5.292405781
5.602059991,5.610187777
5.176091259,5.267417328
5.462397998,5.462166273
5.243038049,5.300274595
5.740362689,5.524300772
5.311753861,5.365812227
5.267171728,5.40889934
5.544068044,5.40319118
5.311753861,5.271525789
5.498310554,5.306055312
5.352182518,5.447633912
5.62838893,5.564220707
5.079181246,5.325392009
5.255272505,5.471071767
5.544068044,5.567026208
5.498310554,5.45796584
5.322219295,5.351437114
5.301029996,5.25693877
5.69019608,5.514415295
5.477121255,5.328162925
5.556302501,5.549178939
5.525044807,5.487355682
5.602059991,5.444191491
5.602059991,5.548515454
5.505149978,5.311507503
5.812913357,5.530375954
5.477121255,5.375378545
5.556302501,5.429226142
5.204119983,5.363240287
5.255272505,5.270883706
5.544068044,5.454323594
4.544068044,5.709948253
5.568201724,5.338414015
5.477121255,5.373213436
5.255272505,5.384024865
5.431363764,5.244446099
5.716003344,5.323694887
5.217483944,5.42758044
5.439332694,5.453471885
5.423245874,5.400372902
5.653212514,5.592230423
5.681241237,5.535750094
5.397940009,5.327047274
4.977723605,5.377930645
5.161368002,5.426895766
5.51851394,5.419143464
5.477121255,5.180058445
5.255272505,5.356106
5.477121255,5.375677097
5.544068044,5.455659442
5.602059991,5.509853777
5.602059991,5.606135142
5.703291378,5.575802651
5.602059991,5.436494248
4.954242509,5.304785099
5.380211242,5.142342508
5.579783597,5.512896815
5.531478917,5.578914482
5.562292864,5.588503664
5.113943352,5.450938276
5.447158031,5.546528651
5.672097858,5.541858477
5.322219295,5.390588056
4.77815125,5.159486337
5.079181246,5.458145372
5.33243846,5.283479566
5.477121255,5.360888288
5.079181246,5.167032705
5.491361694,5.493957268
5.51851394,5.267558767
5.477121255,5.393116853
5.544068044,5.33147037
4.977723605,5.320530184
5.301029996,5.481754741
5.161368002,5.194221996
5.602059991,5.306804449
5.681241237,5.528792471
5.380211242,5.184630402
5.161368002,5.365815516
5.607455023,5.388403909
4.84509804,5.316135053
5,5.368869668
5.380211242,5.24764805
5.505149978,5.429956662
5.380211242,5.404153816
5.752048448,5.637771394
5.633468456,5.415132769
5.602059991,5.524947152
5.255272505,5.322115469
5.491361694,5.472019223
5.342422681,5.331597515
5.161368002,5.391466659
5.77815125,5.511518514
5.602059991,5.366656492
5.301029996,5.286733427
5.505149978,5.481787402
5.579783597,5.602049102
5.711807229,5.627573723
5.361727836,5.429156183
5.484299839,5.448335854
5.556302501,5.602443424
5.161368002,5.34920183
5.511883361,5.453617411
5.477121255,5.434799199
5.568201724,5.483737653
5.740362689,5.600719928
5.255272505,5.390856442
5.361727836,5.350002513
5.462397998,5.246729727
5.491361694,5.362814939
5.477121255,5.554967738
5.462397998,5.319164975
5.477121255,5.388474708
5.176091259,5.364243668
5,5.349543561
5.33243846,5.352183153
5.505149978,5.413842658
5.740362689,5.504190407
5.477121255,5.255733408
5.544068044,5.623470764
5.33243846,5.420365226
5.531478917,5.484721868
5.380211242,5.460317709
5.511883361,5.488603251
5.525044807,5.392140433
5.596597096,5.56147402
5.255272505,5.521491366
5.596597096,5.551352321
4.84509804,5.245816353
5.707570176,5.64085149
5.477121255,5.534601146
5.544068044,5.43009179
5.812913357,5.602389537
5.301029996,5.441939733
5.525044807,5.178956417
5.146128036,5.270361813
5.602059991,5.540404486
5.447158031,5.285368002
6.041392685,5.730616184
5.477121255,5.479259326
5.389166084,5.310814555
5.544068044,5.453135975
5.511883361,5.492783983
5.301029996,5.331706089
5.568201724,5.457431929
5.698970004,5.595596949
5.255272505,5.562411632
5.477121255,5.558295851
5.204119983,5.208427039
5.361727836,5.226561408
5.602059991,5.681993928
5.618048097,5.360362603
5.176091259,5.34770869
5.740362689,5.388265688
5.290034611,5.442727727
5.079181246,5.21389235
5.607455023,5.639613004
5.255272505,5.310112215
5.176091259,5.372766992
5.255272505,5.36885969
5.243038049,5.323668356
5.301029996,5.388061709
5.556302501,5.553141101
5,5.273722603
5.484299839,5.567814765
5.301029996,5.26689139
5.728353782,5.465913206
5.278753601,5.212826253
4.977723605,5.323848826
5.574031268,5.652633977
5.204119983,5.37921944
5.544068044,5.388835829
5.511883361,5.537023946
5.511883361,5.470233048
5,5.281901096
5.544068044,5.334173726
5.439332694,5.038407844
5.477121255,5.429413233
5.525044807,5.399969594
5.596597096,5.666885361
4.977723605,5.205631894
5.380211242,5.291746572
5.301029996,5.280310722
5,5.328025775
5.826074803,5.668407802
5.301029996,5.487524487
5.161368002,5.317604171
5.255272505,5.399724771
5.51851394,5.389813989
5.079181246,5.37938331
5.477121255,5.402306906
4.77815125,5.438654052
5.477121255,5.569124807
5.653212514,5.577071719
5.602059991,5.538520483
5.255272505,5.413556766
5.33243846,5.257889216
5.525044807,5.457897099
5.484299839,5.383765501
5.255272505,5.32127254
5,5.361097381
5.176091259,5.392645179
5.477121255,5.32078373
5.342422681,5.481185782
5.511883361,5.510560045
5.511883361,5.496074912
5.511883361,5.603411394
5.84509804,5.667756732
5.255272505,5.358335826
5.290034611,5.363141301
5.079181246,5.401810196
5.491361694,5.534152473
5.380211242,5.401327664
5.477121255,5.455022652
5.33243846,5.590018881
5.602059991,5.423985354
5.698970004,5.474126181
5.612783857,5.569768652
5.86332286,5.594859263
5.397940009,5.390788471
5.423245874,5.323009228
5.380211242,5.216912427
5.511883361,5.407722027
5.041392685,5.375649297
5.667452953,5.520259146
5.477121255,5.305394381
5.511883361,5.616707992
5.079181246,5.342940086
5.389166084,5.081581634
